Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,267.839996,268.809998,267.399994,268.769989,242.319351,86655700
1/3/2018,268.959991,270.640015,268.959991,270.470001,243.852097,90070400
1/4/2018,271.200012,272.160004,270.540009,271.609985,244.879929,80636400
1/5/2018,272.51001,273.559998,271.950012,273.420013,246.511826,83524000
1/8/2018,273.309998,274.100006,272.980011,273.920013,246.962494,57319200
1/9/2018,274.399994,275.25,274.079987,274.540009,247.521423,57254000
1/10/2018,273.679993,274.420013,272.920013,274.119995,247.142822,69574300
1/11/2018,274.75,276.119995,274.559998,276.119995,248.94606,62361500
1/12/2018,276.420013,278.109985,276.079987,277.920013,250.568909,90816100
1/16/2018,279.350006,280.089996,276.179993,276.970001,249.712433,106555100
1/17/2018,278.029999,280.049988,276.970001,279.609985,252.092545,113258800
1/18/2018,279.480011,279.959991,278.579987,279.140015,251.668854,100728000
1/19/2018,279.799988,280.410004,279.140015,280.410004,252.813797,140920100
1/22/2018,280.170013,282.690002,280.109985,282.690002,254.869568,91322400
1/23/2018,282.73999,283.619995,282.369995,283.290009,255.410446,97084700
1/24/2018,284.019989,284.700012,281.839996,283.179993,255.311234,134816100
1/25/2018,284.160004,284.269989,282.399994,283.299988,255.419418,84587300
1/26/2018,284.25,286.630005,283.959991,286.579987,258.376648,107743100
1/29/2018,285.929993,286.429993,284.5,284.679993,256.663574,90118300
1/30/2018,282.600006,284.73999,281.220001,281.76001,254.031006,131796400
1/31/2018,282.730011,283.299988,280.679993,281.899994,254.157135,108364800
2/1/2018,281.070007,283.059998,280.679993,281.579987,253.868698,90102500
2/2/2018,280.079987,280.230011,275.410004,275.450012,248.34201,173174800
2/5/2018,273.450012,275.850006,263.309998,263.929993,237.955719,294681800
2/6/2018,259.940002,269.700012,258.700012,269.130005,242.643997,355026800
2/7/2018,268.5,272.359985,267.579987,267.670013,241.327621,167376100
2/8/2018,268.01001,268.170013,257.589996,257.630005,232.275742,246449500
2/9/2018,260.799988,263.609985,252.919998,261.5,235.764832,283565300
2/12/2018,263.829987,267.01001,261.660004,265.339996,239.226883,143736000
2/13/2018,263.970001,266.619995,263.309998,266,239.822006,81223600
2/14/2018,264.309998,270,264.299988,269.589996,243.05864,120735700
2/15/2018,271.570007,273.040009,268.769989,273.029999,246.160172,111200300
2/16/2018,272.320007,275.320007,272.269989,273.109985,246.232178,160420100
2/20/2018,272.029999,273.670013,270.5,271.399994,244.690552,86369700
2/21/2018,271.899994,274.720001,269.940002,270.049988,243.473389,98883700
2/22/2018,271.100006,273.049988,269.640015,270.399994,243.788956,110511300
2/23/2018,271.790009,274.709991,271.25,274.709991,247.674774,92766400
2/26/2018,275.929993,278.01001,275.26001,277.899994,250.550919,86491400
2/27/2018,278.109985,278.920013,274.359985,274.429993,247.422302,99099200
2/28/2018,275.679993,276.190002,271.290009,271.649994,244.91597,121907800
3/1/2018,271.410004,273.170013,266,267.700012,241.35466,176855100
3/2/2018,265.799988,269.720001,264.820007,269.079987,242.598877,139083200
3/5/2018,267.730011,272.890015,267.609985,272.190002,245.40274,97307400
3/6/2018,273.299988,273.390015,271.179993,272.880005,246.024872,79213200
3/7/2018,270.420013,273.179993,270.200012,272.779999,245.934769,87063500
3/8/2018,273.549988,274.23999,272.420013,274.100006,247.124847,66901200
3/9/2018,275.700012,278.869995,275.339996,278.869995,251.425339,113625300
3/12/2018,279.200012,279.910004,278.079987,278.519989,251.109848,71924800
3/13/2018,279.839996,280.410004,276.029999,276.720001,249.487015,91968900
3/14/2018,277.809998,278.019989,274.670013,275.299988,248.206711,105895100
3/15/2018,275.880005,276.609985,274.429993,275,247.936264,83433000
3/16/2018,274.5,275.390015,274.140015,274.200012,248.205078,100343700
3/19/2018,273.350006,274.399994,268.619995,270.48999,244.846863,109208400
3/20/2018,270.940002,271.670013,270.179993,270.950012,245.263199,59757300
3/21/2018,270.899994,273.269989,270.190002,270.429993,244.792526,78709600
3/22/2018,267.910004,268.869995,263.359985,263.670013,238.673416,148785900
3/23/2018,264.170013,264.540009,257.829987,258.049988,233.586151,183534800
3/26/2018,262.130005,265.429993,259.410004,265.109985,239.976852,141956100
3/27/2018,266.170013,266.769989,258.839996,260.600006,235.89447,129941400
3/28/2018,260.75,262.640015,258.579987,259.829987,235.197388,146452300
3/29/2018,261.119995,265.26001,259.839996,263.149994,238.202591,111601600
4/2/2018,262.549988,263.130005,254.669998,257.470001,233.061172,186286300
4/3/2018,258.869995,261.309998,256.839996,260.769989,236.048294,119956900
4/4/2018,256.75,264.359985,256.600006,263.559998,238.573792,123715300
4/5/2018,265.549988,266.640015,264.320007,265.640015,240.45665,82652600
4/6/2018,263.420013,265.109985,258,259.720001,235.09787,179521200
4/9/2018,261.369995,264.839996,259.940002,261,236.256516,105442900
