,Date,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,QQQ_Open,QQQ_High,QQQ_Low,QQQ_Close,QQQ_Adj Close,QQQ_Volume,IWM_Open,IWM_High,IWM_Low,IWM_Close,IWM_Adj Close,IWM_Volume,unemployment_Actual,unemployment_Forecast,unemployment_Previous,Announcement_Day
25,2/7/2018,268.5,272.359985,267.579987,267.670013,241.327621,167376100,161.789993,163.550003,160.199997,160.210007,153.520096,91028300,149.610001,150.789993,148.610001,149.839996,138.244781,37101000,4.10%,4.10%,4.10%,FALSE
26,2/8/2018,268.01001,268.170013,257.589996,257.630005,232.275742,246449500,160.619995,160.800003,153.449997,153.449997,147.042419,94184800,149.990005,150,145.440002,145.440002,134.185303,44704500,4.10%,4.10%,4.10%,FALSE
27,2/9/2018,260.799988,263.609985,252.919998,261.5,235.764832,283565300,155.619995,157.240005,150.130005,156.100006,149.581787,113836600,146.759995,147.940002,142.5,146.770004,135.412399,53315300,4.10%,4.10%,4.10%,FALSE
28,2/12/2018,263.829987,267.01001,261.660004,265.339996,239.226883,143736000,157.699997,159.949997,156.460007,158.869995,152.236084,63050600,146.919998,148.919998,145.479996,148.160004,136.694794,36213900,4.10%,4.10%,4.10%,FALSE
29,2/13/2018,263.970001,266.619995,263.309998,266,239.822006,81223600,157.960007,160.009995,157.720001,159.690002,153.021835,31785600,147.380005,148.789993,146.899994,148.479996,136.990021,25021200,4.10%,4.10%,4.10%,FALSE
30,2/14/2018,264.309998,270,264.299988,269.589996,243.05864,120735700,158.75,162.929993,158,162.679993,155.886963,52107400,147.630005,151.520004,147.179993,151.149994,139.453384,36286900,4.10%,4.10%,4.10%,FALSE
31,2/15/2018,271.570007,273.040009,268.769989,273.029999,246.160172,111200300,164.139999,165.699997,162.440002,165.699997,158.78093,51633900,152.220001,152.869995,150.559998,152.800003,140.975769,23773600,4.10%,4.10%,4.10%,FALSE
32,2/16/2018,272.320007,275.320007,272.269989,273.109985,246.232178,160420100,165.160004,166.759995,164.679993,164.960007,158.071793,62256300,152.610001,154.289993,152.539993,153.339996,141.473953,27973900,4.10%,4.10%,4.10%,FALSE
33,2/20/2018,272.029999,273.670013,270.5,271.399994,244.690552,86369700,164.380005,166.679993,164.309998,165.289993,158.387985,36785600,152.550003,153.770004,151.669998,152.080002,140.311493,24046200,4.10%,4.10%,4.10%,FALSE
34,2/21/2018,271.899994,274.720001,269.940002,270.049988,243.473389,98883700,166.100006,167.720001,164.720001,164.820007,157.937622,41161800,152.419998,154.809998,152.009995,152.240005,140.459091,26735500,4.10%,4.10%,4.10%,FALSE
35,2/22/2018,271.100006,273.049988,269.640015,270.399994,243.788956,110511300,165.539993,166.419998,164.380005,164.800003,157.918533,37074400,152.809998,154.029999,151.910004,152,140.237656,16340000,4.10%,4.10%,4.10%,FALSE
