Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,156.559998,158.529999,156.169998,158.490005,151.871933,32573300
1/3/2018,158.639999,160.169998,158.610001,160.029999,153.347641,29383600
1/4/2018,160.580002,160.789993,160.080002,160.309998,153.615906,24776100
1/5/2018,161.070007,162.029999,160.770004,161.919998,155.158768,26992300
1/8/2018,161.919998,162.630005,161.860001,162.550003,155.76239,23159100
1/9/2018,162.869995,163.039993,162.070007,162.559998,155.771988,24782400
1/10/2018,161.839996,162.210007,161.119995,162.179993,155.407852,34004000
1/11/2018,162.460007,163.300003,162.210007,163.289993,156.471512,20473500
1/12/2018,163.149994,164.660004,162.940002,164.490005,157.621429,37762700
1/16/2018,165.580002,166.419998,163.529999,164.020004,157.171066,41231800
1/17/2018,164.800003,166.039993,164,165.789993,158.867126,33849900
1/18/2018,165.529999,166.199997,165.139999,165.820007,158.895874,26432200
1/19/2018,166.309998,166.610001,165.539993,166.339996,159.39418,38937600
1/22/2018,166.279999,168.119995,166.089996,168.119995,161.099838,26081400
1/23/2018,168.639999,169.660004,168.559998,169.509995,162.431808,37989700
1/24/2018,169.869995,170.240005,167.440002,168.410004,161.377731,54287400
1/25/2018,169.570007,169.630005,167.809998,168.350006,161.320221,28925000
1/26/2018,169.289993,170.949997,168.960007,170.929993,163.792511,32038200
1/29/2018,170.570007,170.910004,169.740005,170.100006,162.997223,37277800
1/30/2018,168.550003,169.419998,167.820007,168.699997,161.655594,44987700
1/31/2018,169.649994,169.990005,168.339996,169.399994,162.32637,42449200
2/1/2018,168.100006,169.729996,167.419998,167.960007,160.946503,38037900
2/2/2018,167.300003,167.699997,164.470001,164.610001,157.736404,68478100
2/5/2018,163.070007,165.75,158,158.119995,151.517349,105372200
2/6/2018,155.809998,162.509995,155.100006,162.309998,155.53244,118537900
2/7/2018,161.789993,163.550003,160.199997,160.210007,153.520096,91028300
2/8/2018,160.619995,160.800003,153.449997,153.449997,147.042419,94184800
2/9/2018,155.619995,157.240005,150.130005,156.100006,149.581787,113836600
2/12/2018,157.699997,159.949997,156.460007,158.869995,152.236084,63050600
2/13/2018,157.960007,160.009995,157.720001,159.690002,153.021835,31785600
2/14/2018,158.75,162.929993,158,162.679993,155.886963,52107400
2/15/2018,164.139999,165.699997,162.440002,165.699997,158.78093,51633900
2/16/2018,165.160004,166.759995,164.679993,164.960007,158.071793,62256300
2/20/2018,164.380005,166.679993,164.309998,165.289993,158.387985,36785600
2/21/2018,166.100006,167.720001,164.720001,164.820007,157.937622,41161800
2/22/2018,165.539993,166.419998,164.380005,164.800003,157.918533,37074400
2/23/2018,166.130005,168.169998,165.449997,168.169998,161.14772,50096900
2/26/2018,168.960007,170.399994,168.820007,170.399994,163.284607,39266700
2/27/2018,170.449997,170.729996,168.210007,168.289993,161.262726,42209900
2/28/2018,169.25,169.800003,167.100006,167.210007,160.227844,42936300
3/1/2018,167.300003,168.070007,163,164.479996,157.611832,76809900
3/2/2018,162.5,166.279999,161.960007,165.990005,159.058777,57445100
3/5/2018,165.210007,168.259995,164.589996,167.830002,160.821915,38540200
3/6/2018,168.649994,169.110001,167.479996,168.539993,161.502319,29480900
3/7/2018,167.25,169.070007,166.960007,168.929993,161.876022,34609400
3/8/2018,169.630005,169.979996,168.949997,169.860001,162.767227,25828400
3/9/2018,171.070007,173.160004,170.820007,173.160004,165.929321,38310500
3/12/2018,173.669998,174.479996,173.279999,174.080002,166.810989,37635000
3/13/2018,174.479996,175.210007,171.270004,171.710007,164.539917,55638900
3/14/2018,172.610001,172.740005,170.929993,171.679993,164.511169,40536400
3/15/2018,171.800003,172.529999,170.899994,171.529999,164.367477,28810400
3/16/2018,171.820007,172.199997,170.940002,171.020004,163.878738,31176700
3/19/2018,169.100006,169.220001,165.639999,167.100006,160.382187,71395100
3/20/2018,167.169998,168.039993,166.610001,167.649994,160.910049,34075700
3/21/2018,167.210007,168.759995,166.190002,166.919998,160.209442,43863500
3/22/2018,164.610001,165.770004,162.589996,162.800003,156.255035,66607300
3/23/2018,162.610001,163.300003,158.429993,158.509995,152.137573,80110400
3/26/2018,161.720001,164.600006,159.160004,164.399994,157.790756,57481500
3/27/2018,165.619995,165.619995,157.679993,159.080002,152.684616,78889100
3/28/2018,158.169998,159.779999,156.039993,157.25,150.928192,89369700
3/29/2018,158.100006,161.710007,156.630005,160.130005,153.692398,68692600
4/2/2018,158.990005,159.740005,153.880005,155.509995,149.258102,85549400
4/3/2018,156.869995,157.919998,154.440002,157.259995,150.937744,64090000
4/4/2018,154.220001,160.229996,154.039993,159.740005,153.318039,65768700
4/5/2018,161.330002,161.580002,159.479996,160.649994,154.191498,43054900
4/6/2018,158.880005,160.460007,155.880005,156.630005,150.333145,59870900
4/9/2018,157.979996,160.880005,157.460007,157.729996,151.388855,41810400
4/10/2018,160.210007,161.729996,159.070007,161.210007,154.728973,48296800
4/11/2018,160.199997,162,160.100006,160.279999,153.836411,41622100
4/12/2018,161.25,162.770004,161.160004,162.210007,155.688812,30467900
4/13/2018,163.020004,163.259995,160.669998,161.369995,154.882538,44604900
4/16/2018,162.5,163.190002,161.479996,162.600006,156.06311,28180800
4/17/2018,164.240005,166.460007,163.910004,166.100006,159.422394,35536100
4/18/2018,166.100006,167,165.309998,166.440002,159.748734,29573900
4/19/2018,165.600006,165.990005,164.339996,164.910004,158.280258,34705700
4/20/2018,164.490005,164.610001,161.729996,162.300003,155.775162,49197100
4/23/2018,163.089996,163.729996,161.020004,161.889999,155.381607,33040600
4/24/2018,162.660004,162.910004,157.389999,158.460007,152.089493,70256800
4/25/2018,158.740005,159.309998,156.470001,158.649994,152.271912,52089300
4/26/2018,160.699997,162.529999,160.179993,161.990005,155.477631,43005500
4/27/2018,164.369995,164.410004,161.169998,162.089996,155.573608,51043400
