Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,153.199997,153.970001,152.460007,153.899994,141.990631,20489600
1/3/2018,153.869995,154.460007,153.520004,154.059998,142.13826,21836600
1/4/2018,154.970001,155.149994,154.020004,154.470001,142.516525,14207100
1/5/2018,154.880005,154.979996,153.940002,154.789993,142.811752,19883900
1/8/2018,154.729996,155.270004,153.5,155.029999,143.033173,18457300
1/9/2018,155.240005,155.5,154.729996,154.820007,142.839478,16571300
1/10/2018,154.470001,155.169998,153.919998,154.839996,142.857895,18516800
1/11/2018,155.070007,157.660004,154.979996,157.5,145.312057,26522400
1/12/2018,157.679993,158.860001,157.470001,158.160004,145.920975,24089800
1/16/2018,158.860001,159.410004,155.800003,156.139999,144.057297,27704700
1/17/2018,156.800003,157.940002,156.279999,157.619995,145.422791,18571600
1/18/2018,157.220001,157.5,156.389999,156.539993,144.4263,17903600
1/19/2018,156.729996,158.690002,156.550003,158.600006,146.326904,31040900
1/22/2018,158.399994,159.449997,158.309998,159.449997,147.11116,12702400
1/23/2018,159.240005,160.300003,158.669998,159.960007,147.58168,16904600
1/24/2018,160.360001,160.630005,158.399994,158.970001,146.668335,20340900
1/25/2018,159.639999,159.919998,158.210007,159.029999,146.723633,20290900
1/26/2018,159.529999,159.690002,158.770004,159.600006,147.249542,16120300
1/29/2018,159.059998,159.860001,158.619995,158.699997,146.419174,18293300
1/30/2018,157.660004,158.220001,156.729996,157.179993,145.016754,24533800
1/31/2018,157.740005,158.419998,155.919998,156.360001,144.260239,27468900
2/1/2018,155.729996,157.210007,155.529999,156.850006,144.712372,21413000
2/2/2018,156.130005,156.149994,153.509995,153.830002,141.926086,33314100
2/5/2018,152.669998,153.789993,147.860001,147.919998,136.473358,52622200
2/6/2018,145.529999,150.369995,144.240005,149.690002,138.1064,69232400
2/7/2018,149.610001,150.789993,148.610001,149.839996,138.244781,37101000
2/8/2018,149.990005,150,145.440002,145.440002,134.185303,44704500
2/9/2018,146.759995,147.940002,142.5,146.770004,135.412399,53315300
2/12/2018,146.919998,148.919998,145.479996,148.160004,136.694794,36213900
2/13/2018,147.380005,148.789993,146.899994,148.479996,136.990021,25021200
2/14/2018,147.630005,151.520004,147.179993,151.149994,139.453384,36286900
2/15/2018,152.220001,152.869995,150.559998,152.800003,140.975769,23773600
